Elements;insertionS;milliSec;100000;10000;5;10;auf
100000;2;;;;;;
110000;2;;;;;;
120000;2;;;;;;
130000;3;;;;;;
140000;3;;;;;;
150000;3;;;;;;
160000;3;;;;;;
170000;3;;;;;;
180000;4;;;;;;
190000;3;;;;;;
200000;4;;;;;;
ab;;;;;;;
1000;5;;;;;;
1100;6;;;;;;
1200;5;;;;;;
1300;6;;;;;;
1400;6;;;;;;
1500;8;;;;;;
1600;9;;;;;;
1700;9;;;;;;
1800;12;;;;;;
1900;12;;;;;;
2000;13;;;;;;
rand;;;;;;;
1000;2;;;;;;
1100;2;;;;;;
1200;3;;;;;;
1300;3;;;;;;
1400;3;;;;;;
1500;5;;;;;;
1600;3;;;;;;
1700;5;;;;;;
1800;8;;;;;;
1900;6;;;;;;
2000;8;;;;;;
